127.0.0.1 - - [28/Feb/2014:02:31:51 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [28/Feb/2014:02:31:57 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 520
127.0.0.1 - - [28/Feb/2014:02:31:58 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:36:29 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 547
127.0.0.1 - - [28/Feb/2014:02:36:29 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 200 664
127.0.0.1 - - [28/Feb/2014:02:36:36 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 547
127.0.0.1 - - [28/Feb/2014:02:36:36 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 200 638
127.0.0.1 - - [28/Feb/2014:02:42:10 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 988
127.0.0.1 - - [28/Feb/2014:02:42:10 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 200 617
127.0.0.1 - - [28/Feb/2014:02:44:02 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1015
127.0.0.1 - - [28/Feb/2014:02:44:02 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:44:03 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1015
127.0.0.1 - - [28/Feb/2014:02:44:03 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:44:03 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1015
127.0.0.1 - - [28/Feb/2014:02:44:03 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:44:03 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1015
127.0.0.1 - - [28/Feb/2014:02:44:03 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:44:04 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1015
127.0.0.1 - - [28/Feb/2014:02:44:04 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:45:09 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1080
127.0.0.1 - - [28/Feb/2014:02:45:09 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:45:09 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 62
127.0.0.1 - - [28/Feb/2014:02:46:17 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1053
127.0.0.1 - - [28/Feb/2014:02:46:17 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:46:17 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 50
127.0.0.1 - - [28/Feb/2014:02:46:18 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1053
127.0.0.1 - - [28/Feb/2014:02:46:18 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:46:18 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:46:36 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1053
127.0.0.1 - - [28/Feb/2014:02:46:36 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:46:36 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 50
127.0.0.1 - - [28/Feb/2014:02:47:27 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1072
127.0.0.1 - - [28/Feb/2014:02:47:27 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:27 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:54 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1078
127.0.0.1 - - [28/Feb/2014:02:47:54 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:54 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1078
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1078
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1078
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1078
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:56 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 1078
127.0.0.1 - - [28/Feb/2014:02:47:56 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:02:47:56 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
