127.0.0.1 - - [18/Mar/2014:20:39:32 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [18/Mar/2014:20:39:43 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 5287
127.0.0.1 - - [18/Mar/2014:20:39:43 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 200 1576
127.0.0.1 - - [18/Mar/2014:20:39:43 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 200 2471
127.0.0.1 - - [18/Mar/2014:20:39:43 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 363
127.0.0.1 - - [18/Mar/2014:20:39:43 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 200 3885
127.0.0.1 - - [18/Mar/2014:20:39:43 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 200 539
127.0.0.1 - - [18/Mar/2014:20:39:43 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 200 358
127.0.0.1 - - [18/Mar/2014:20:39:43 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 200 472
127.0.0.1 - - [18/Mar/2014:20:39:43 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 200 691
127.0.0.1 - - [18/Mar/2014:20:39:44 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [18/Mar/2014:20:39:44 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [18/Mar/2014:20:40:06 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1395191405&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [18/Mar/2014:20:40:10 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [18/Mar/2014:20:40:10 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 4630
127.0.0.1 - - [18/Mar/2014:20:40:10 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 200 3236
127.0.0.1 - - [18/Mar/2014:20:40:10 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 200 95
127.0.0.1 - - [18/Mar/2014:20:40:10 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 200 200
