127.0.0.1 - - [01/May/2014:08:06:47 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [01/May/2014:08:07:03 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 302 -
127.0.0.1 - - [01/May/2014:08:07:06 -0430] "GET /catalogo_productos_consola/jsp/index.jsp?error=expira_sesion HTTP/1.1" 200 5485
127.0.0.1 - - [01/May/2014:08:07:09 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:09 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:09 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:09 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:09 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:09 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:09 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:09 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:23 -0430] "GET /catalogo_productos_consola/LlenarCmbGrupoEquipoServlet?t=1398947841&usuario=admin&clave=12345678 HTTP/1.1" 200 54
127.0.0.1 - - [01/May/2014:08:07:25 -0430] "POST /catalogo_productos_consola/AutenticarUsuarioServlet HTTP/1.1" 302 -
127.0.0.1 - - [01/May/2014:08:07:27 -0430] "GET /catalogo_productos_consola/jsp/home.jsp HTTP/1.1" 200 5023
127.0.0.1 - - [01/May/2014:08:07:27 -0430] "GET /catalogo_productos_consola/css/plantillas/cuerpo.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:27 -0430] "GET /catalogo_productos_consola/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:27 -0430] "GET /catalogo_productos_consola/css/plantillas/botonera_principal.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:27 -0430] "GET /catalogo_productos_consola/js/ajax/set_idioma_pais_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:27 -0430] "GET /catalogo_productos_consola/css/plantillas/ubicacion.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:07:35 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 500 3244
127.0.0.1 - - [01/May/2014:08:09:43 -0430] "GET /catalogo_productos_consola/jsp/agregar_producto.jsp HTTP/1.1" 302 -
127.0.0.1 - - [01/May/2014:08:09:44 -0430] "GET /catalogo_productos_consola/jsp/index.jsp?error=expira_sesion HTTP/1.1" 200 5485
127.0.0.1 - - [01/May/2014:08:09:44 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:09:44 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:09:44 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:09:44 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:09:44 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:09:44 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:09:44 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 304 -
127.0.0.1 - - [01/May/2014:08:09:44 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
