127.0.0.1 - - [04/Oct/2014:15:09:48 -0430] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3621
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 200 691
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 363
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 200 539
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 200 1576
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 200 1864
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/js/utils/validaciones.js HTTP/1.1" 200 6548
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 200 472
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 200 358
127.0.0.1 - - [04/Oct/2014:15:09:53 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 200 3885
127.0.0.1 - - [04/Oct/2014:15:09:54 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [04/Oct/2014:15:16:07 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 3621
127.0.0.1 - - [04/Oct/2014:15:16:08 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 200 691
127.0.0.1 - - [04/Oct/2014:15:16:08 -0430] "GET /catalogo_productos_consola/css/utils/errores.css HTTP/1.1" 200 539
127.0.0.1 - - [04/Oct/2014:15:16:08 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 363
127.0.0.1 - - [04/Oct/2014:15:16:08 -0430] "GET /catalogo_productos_consola/js/utils/utils.js HTTP/1.1" 200 1864
127.0.0.1 - - [04/Oct/2014:15:16:08 -0430] "GET /catalogo_productos_consola/js/utils/validaciones.js HTTP/1.1" 200 6548
127.0.0.1 - - [04/Oct/2014:15:16:08 -0430] "GET /catalogo_productos_consola/js/utils/cookies.js HTTP/1.1" 200 1576
127.0.0.1 - - [04/Oct/2014:15:16:08 -0430] "GET /catalogo_productos_consola/js/plantillas/idioma_pais.js HTTP/1.1" 200 358
127.0.0.1 - - [04/Oct/2014:15:16:08 -0430] "GET /catalogo_productos_consola/js/index.js HTTP/1.1" 200 472
127.0.0.1 - - [04/Oct/2014:15:16:08 -0430] "GET /catalogo_productos_consola/js/ajax/llenar_cmb_grupo_equipos_ajax.js HTTP/1.1" 200 3885
127.0.0.1 - - [04/Oct/2014:15:16:09 -0430] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [04/Oct/2014:15:16:09 -0430] "GET /favicon.ico HTTP/1.1" 404 973
